0.000000,0.000000.1,0.000000.2,0.000000.3,0.000000.4,0.000000.5,0.000586,0.000000.6,0.000000.7,0.000000.8,0.000195,0.000000.9,0.000000.10,0.000000.11,0.000000.12,0.000000.13,0.000000.14,0.000000.15,0.000000.16,0.000000.17,0.000000.18,0.000000.19,0.000000.20,0.000000.21,0.000000.22,0.000098,0.000000.23,0.000000.24,0.000000.25,0.000000.26,0.000488,0.000879
0.0,0.000195,0.0,0.0,0.0,0.0,0.0,0.000293,0.000391,0.0,0.0,0.000293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000195,0.0,0.0,0.000391,0.0,0.0,0.000195,0.0,0.000195,0.0,0.0
0.0,0.0,0.0,0.0,0.000488,0.000293,0.001367,0.000391,0.0,0.000879,0.0,0.000488,0.0,0.0,0.0,0.0,0.0,0.0,0.000195,0.0,0.0,0.0,0.0,0.0,0.0,9.8e-05,9.8e-05,0.0,0.000293,0.000293,0.001465,0.0
0.0,0.000684,0.0,0.0,0.0,0.0,0.001074,0.000391,0.0,0.0,0.0,0.0,0.000195,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000488,0.0,0.0,0.000488,0.0,0.00127,0.000195
0.000977,0.000781,0.001367,0.000391,0.0,0.000781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.0,0.0,0.000684,0.000879,0.00127,0.00166,0.0,0.0,0.0,0.000293,0.0,0.0,0.0,0.0,0.0,0.0,0.000195,0.000781
0.000977,0.001758,0.000391,0.00127,9.8e-05,0.0,0.0,9.8e-05,0.000391,0.0,0.0,0.0,0.0,0.0,0.000879,0.0,0.001953,0.000586,0.001074,0.001465,0.000195,0.0,0.001855,0.000391,0.0,0.001172,0.0,0.000293,0.0,0.0,0.000879,0.000879
0.00166,0.00166,0.001758,0.000684,0.0,0.000781,0.000293,0.0,0.000391,0.000684,0.000977,9.8e-05,0.0,0.000586,0.000781,0.000977,0.000977,0.001367,9.8e-05,0.0,0.002344,0.00127,0.001074,0.001172,0.000391,0.000684,0.000684,0.001758,9.8e-05,0.001074,0.000879,0.000391
0.000586,0.001465,0.001758,0.00127,0.00127,0.0,0.001172,9.8e-05,0.000195,0.0,0.0,0.0,0.0,0.0,0.000195,0.0,0.000977,0.000879,0.000195,0.004492,0.00166,0.001172,0.000488,0.001367,0.000977,0.0,0.000781,0.000684,0.000391,0.000195,0.0,0.0
0.001172,0.0,0.001367,0.0,0.0,0.000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000195,0.000781,0.0,0.0,0.0,0.0,0.0,0.0,0.000586,0.001855,0.001465,0.000879,9.8e-05,0.0,0.0,0.0,0.001855
9.8e-05,0.001074,9.8e-05,9.8e-05,0.0,0.0,9.8e-05,0.000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.0,0.002148,0.001855,0.001953,0.000977,0.000977,0.000488,0.001074,0.000195
0.000781,0.000488,0.000195,0.000195,0.0,0.0,0.000293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.0,0.000391,9.8e-05,9.8e-05,0.0,0.0,0.001953,0.00332,0.002539,0.003223,0.000391,0.000488,0.000293,0.0
0.000488,0.001074,0.001563,0.000781,0.0,0.001074,0.000391,0.000391,0.0,0.0,0.0,0.0,0.000391,0.0,0.0,0.0,0.001465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002344,0.002344,0.003516,0.003711,0.001367,0.000391,0.000195,0.0
0.000781,0.00127,0.002148,0.001855,0.0,0.001172,0.002344,0.001172,9.8e-05,0.0,0.000879,0.0,0.0,0.0,0.000391,0.000488,0.0,0.0,0.000781,0.0,0.0,0.0,0.0,0.000586,0.0,0.000195,0.0,0.0,0.0,0.0,0.0,0.000195
0.000977,0.001172,0.001953,0.002832,0.000391,0.000293,0.00127,0.00127,0.000879,0.0,0.000293,9.8e-05,0.0,0.0,9.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.0,0.0,0.0,0.0,0.0
0.002832,0.001855,0.001172,0.000195,0.005176,0.004492,0.004297,0.004102,0.0,0.0,0.0,0.0,0.0,0.000586,0.001562,0.000195,0.0,0.000195,0.0,0.000977,0.0,9.8e-05,0.000586,0.000488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003516,0.001855,0.001367,0.003613,0.003906,0.005664,0.003125,0.004297,0.0,0.0,0.0,0.0,0.000195,0.0,0.000195,0.0,0.0,0.000977,0.0,0.0,0.0,0.0,0.0,0.000293,0.0,0.0,0.0,0.0,0.0,0.0,0.000293,0.0
0.000195,0.000293,0.000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.0,0.000195,0.000586,0.000586,0.0,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.0,0.000488,0.0,0.0,0.000879,0.000391,0.000488
0.00127,0.001367,0.0,0.0,0.0,0.0,9.8e-05,0.0,0.0,0.000586,0.0,0.0,0.0,0.0,0.0,0.0,0.000781,0.001465,0.0,0.000195,0.000977,0.0,0.0,0.0,0.000195,0.000977,0.000684,0.0,0.0,0.0,0.0,0.0
0.0,0.000391,0.0,0.0,0.0,0.0,0.000195,0.0,0.000195,0.000684,9.8e-05,0.000781,0.0,0.0,0.0,0.0,0.000293,0.001172,0.000586,0.000391,0.0,0.000293,0.000684,0.0,0.0,0.00166,0.000977,0.000879,0.000488,0.0,0.0,9.8e-05
0.0,0.0,0.0,0.0,0.000879,0.0,0.0,0.0,0.0,0.000684,0.000293,0.000293,0.0,0.0,0.0,0.000293,0.000195,0.000195,0.000391,0.0,0.0,0.0,0.000293,0.0,0.000391,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.000195
0.000488,0.0,0.0,0.0,0.0,0.0,0.0,0.000781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000684,0.000293,0.0,0.0,0.0,0.0,0.000488
0.0,0.0,0.0,0.0,0.0,0.0,0.000195,9.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001172,0.000488,0.000195,0.0,0.0,0.000977,0.0,0.0
0.0,0.001172,0.000684,0.0,0.0,0.0,0.002637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000293,0.000684,0.000586,0.000293,0.0,0.0,0.000293
0.000391,0.000879,0.0,9.8e-05,0.000391,0.0,0.001367,0.001172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000488,0.0,0.0
0.0,9.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000879,0.000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000488,0.0,0.0,0.0,0.0,0.0,0.0,0.000586,9.8e-05,0.0,0.000879
9.8e-05,0.0,0.0,0.0,0.000195,0.0,0.0,0.0,0.000391,9.8e-05,0.000391,0.0,0.0,0.0,0.0,0.0,0.000195,0.0,0.0,0.0,0.0,0.000391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.000488,0.000586
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000488,0.000684,0.000488,9.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000195,0.000293,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000195,0.0,0.000293,0.0,0.0,0.0,0.0,0.0,0.000781,0.0
0.000488,0.000391,0.0,9.8e-05,0.0,9.8e-05,0.0,0.000684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000879,0.000586,0.001172,0.000879,0.0,0.0,0.000488,0.001172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.000195,0.0,0.000391,9.8e-05,0.0,0.0,0.000293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000586,0.000977,0.0,0.000879,0.0,0.0,0.0,0.0
0.000684,0.000488,0.001562,0.00127,0.0,0.000293,0.000293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000391,9.8e-05,0.0,0.0,0.0,0.0,0.0,0.0
